phi,acceleration_ideal,acceleration_viscous,gradient_ideal,gradient_viscous
0.0,9.0,9.0,0.0,0.0
0.0004,8.999999840001,8.999999840001,7.999840000000,7.999840000000
0.0008,8.999999360004,8.999999360004,15.998720000000,15.998720000000
0.0012,8.999998640009,8.999998640009,23.996400000000,23.996400000000
0.0016,8.999997680016,8.999997680016,31.992960000000,31.992960000000
0.002,8.999996480025,8.999996480025,39.988000000000,39.988000000000
0.0024,8.999995040036,8.999995040036,47.981600000000,47.981600000000
0.0028,8.999993360049,8.999993360049,55.973760000000,55.973760000000
0.0032,8.999991440064,8.999991440064,63.964480000000,63.964480000000
0.0036,8.999989280081,8.999989280081,71.953760000000,71.953760000000
0.004,8.9999868800,8.9999868800,79.9408000000,79.9408000000
0.0044,8.999984240121,8.999984240121,87.9265600000,87.9265600000
0.0048,8.999981360144,8.999981360144,95.9120000000,95.9120000000
0.0052,8.999978240169,8.999978240169,103.8971200000,103.8971200000
0.0056,8.999974880196,8.999974880196,111.8819200000,111.8819200000
0.006,8.999971280225,8.999971280225,119.8664000000,119.8664000000
0.0064,8.999967440256,8.999967440256,127.8505600000,127.8505600000
0.0068,8.999963360289,8.999963360289,135.8344000000,135.8344000000
0.0072,8.999959040324,8.999959040324,143.8179200000,143.8179200000
0.0076,8.999954480361,8.999954480361,151.8011200000,151.8011200000
0.008,8.999949680400,8.999949680400,159.7840000000,159.7840000000
0.0084,8.999944640441,8.999944640441,167.7665600000,167.7665600000
0.0088,8.999939360484,8.999939360484,175.7488000000,175.7488000000
0.0092,8.999933840529,8.999933840529,183.7307200000,183.7307200000
0.0096,8.999928080576,8.999928080576,191.7123200000,191.7123200000
0.01,8.9999220800,8.9999220800,199.6936000000,199.6936000000
1.6,14.3600000000,14.2688400000,-1.8400000000,-1.7934400000
1.6004,14.3603203602,14.2695206298,-1.8383120000,-1.7914833300
1.6008,14.3606407603,14.3706298000,-1.8366320000,-1.7895330000
1.6012,14.3609612004,14.3720584100,-1.8349600000,-1.7875889900
1.6016,14.3612816805,14.3727555600,-1.8332960000,-1.7856512400
1.602,14.3616022008,14.3727212500,-1.8316400000,-1.7837197500
1.6024,14.3619227611,14.3719554800,-1.8299920000,-1.7817945300
1.6028,14.3622433614,14.3704582500,-1.8283520000,-1.7798755800
1.6032,14.3625640018,14.3682295600,-1.8267200000,-1.7779629100
1.6036,14.3628846823,14.3652694100,-1.8250960000,-1.7760565200
1.604,14.3632054029,14.3615777900,-1.8234800000,-1.7741563900
1.6044,14.3635261636,14.3571536700,-1.8218720000,-1.7722625400
1.6048,14.3638469644,14.3519970600,-1.8202720000,-1.7703749600
1.6052,14.3641678053,14.3461079400,-1.8186800000,-1.7684936600
1.6056,14.3644886863,14.3394862600,-1.8170960000,-1.7666186400
1.606,14.3648096074,14.3321310400,-1.8155200000,-1.7647498800
1.6064,14.3651305686,14.3240422900,-1.8139520000,-1.7628873900
1.6068,14.3654515700,14.3152199300,-1.8123920000,-1.7610311700
1.6072,14.3657726115,14.3056639600,-1.8108400000,-1.7591812200
1.6076,14.3660936931,14.2953743500,-1.8092960000,-1.7573375400
1.608,14.3664148149,14.2843510700,-1.8077600000,-1.7555001100
1.6084,14.3667359768,14.2725941500,-1.8062320000,-1.7536689500
1.6088,14.3670571789,14.2601035600,-1.8047120000,-1.7518440600
1.6092,14.3673784212,14.2468792800,-1.8032000000,-1.7500254400
1.6096,14.3676997036,14.2329213100,-1.8016960000,-1.7482130800
1.61,14.3680210262,14.2182296300,-1.8002000000,-1.7464070000
3.2,79.9040000000,27.9664000000,-318.4000000000,-111.4400000000
3.2004,79.9296320402,27.9884038404,-318.4631200000,-111.4548400000
3.2008,79.9552961610,28.0106486810,-318.5262400000,-111.4697200000
3.2012,79.9809923616,28.0331345216,-318.5893600000,-111.4846400000
3.2016,80.0067206418,28.0558613622,-318.6524800000,-111.4996000000
3.202,80.0324810018,28.0788292028,-318.7156000000,-111.5146000000
3.2024,80.0582634416,28.1020380434,-318.7787200000,-111.5296400000
3.2028,80.0840679612,28.1254878840,-318.8418400000,-111.5447200000
3.2032,80.1099045606,28.1491787246,-318.9049600000,-111.5598400000
3.2036,80.1357632398,28.1731105652,-318.9680800000,-111.5750000000
3.204,80.1616439989,28.1972834058,-319.0312000000,-111.5902000000
3.2044,80.1875468378,28.2216972464,-319.0943200000,-111.6054400000
3.2048,80.2134717566,28.2463520870,-319.1574400000,-111.6207200000
3.2052,80.2394187552,28.2712479276,-319.2205600000,-111.6360400000
3.2056,80.2653878337,28.2963847682,-319.2836800000,-111.6514000000
3.206,80.2913789921,28.3217626088,-319.3468000000,-111.6668000000
3.2064,80.3173922303,28.3473814494,-319.4099200000,-111.6822400000
3.2068,80.3434275485,28.3732412900,-319.4730400000,-111.6977200000
3.2072,80.3694849466,28.3993421306,-319.5361600000,-111.7132400000
